epoch,loss,mae,val_loss,val_mae
0,7.436915874481201,2.2821693420410156,6.4830641746521,2.136497974395752
1,7.3132123947143555,2.261826992034912,6.36777925491333,2.1162641048431396
2,7.193748474121094,2.2420437335968018,6.256314754486084,2.096667528152466
3,7.078264236450195,2.2228875160217285,6.149247646331787,2.0780346393585205
4,6.9673848152160645,2.204465866088867,6.046626091003418,2.0598795413970947
5,6.8605546951293945,2.1861493587493896,5.946770668029785,2.04189395904541
6,6.756635665893555,2.168442487716675,5.8504252433776855,2.0242953300476074
7,6.656025409698486,2.151341676712036,5.757449150085449,2.007012367248535
8,6.558992385864258,2.1347036361694336,5.668032646179199,1.990171194076538
9,6.465237617492676,2.1188409328460693,5.5816521644592285,1.9738373756408691
10,6.374654769897461,2.1031346321105957,5.4981560707092285,1.9578183889389038
11,6.286701679229736,2.0877578258514404,5.417204856872559,1.9420744180679321
12,6.201753616333008,2.0731184482574463,5.33854341506958,1.926558017730713
13,6.118831634521484,2.0584309101104736,5.262164115905762,1.9113136529922485
14,6.038112163543701,2.0438122749328613,5.187716484069824,1.8962912559509277
15,5.959426403045654,2.029597520828247,5.115797996520996,1.8816009759902954
16,5.8832316398620605,2.0157790184020996,5.046088218688965,1.8672925233840942
17,5.809181213378906,2.00225567817688,4.978412628173828,1.853509545326233
18,5.737236976623535,1.9889899492263794,4.9125285148620605,1.8399410247802734
19,5.6669769287109375,1.9758307933807373,4.848316669464111,1.8265879154205322
20,5.598207473754883,1.9633002281188965,4.785701751708984,1.8134357929229736
21,5.531011581420898,1.950855016708374,4.724508285522461,1.8004297018051147
22,5.465333461761475,1.9386271238327026,4.664831638336182,1.7876476049423218
23,5.40114688873291,1.9264081716537476,4.606873512268066,1.775659203529358
24,5.338841438293457,1.9145481586456299,4.550282001495361,1.7641183137893677
25,5.277816295623779,1.9029808044433594,4.495156288146973,1.7527974843978882
26,5.218247413635254,1.8918399810791016,4.441070079803467,1.7416033744812012
27,5.159778594970703,1.8807023763656616,4.388097763061523,1.7305296659469604
28,5.102264881134033,1.8694897890090942,4.336532115936279,1.7196552753448486
29,5.046380519866943,1.8588098287582397,4.286116123199463,1.7089779376983643
30,4.99144983291626,1.847760796546936,4.236764907836914,1.6984444856643677
31,4.937890529632568,1.83736252784729,4.1878662109375,1.6879140138626099
32,4.884262561798096,1.826729655265808,4.140443801879883,1.67763352394104
33,4.832579612731934,1.816512942314148,4.0940093994140625,1.6675440073013306
34,4.781575679779053,1.8063790798187256,4.048605918884277,1.6575944423675537
35,4.7318196296691895,1.7965525388717651,4.003586292266846,1.647648811340332
36,4.682394504547119,1.7866754531860352,3.9600908756256104,1.6379518508911133
37,4.634510040283203,1.7770003080368042,3.917421340942383,1.6283574104309082
38,4.587456226348877,1.7674275636672974,3.8757948875427246,1.6189638376235962
39,4.541365623474121,1.7579967975616455,3.8347201347351074,1.6096704006195068
40,4.495924949645996,1.7489514350891113,3.7943575382232666,1.6004728078842163
41,4.451110363006592,1.7395402193069458,3.754721164703369,1.59136164188385
